NR,LK,LKNR,04.01.2022,05.01.2022,06.01.2022,07.01.2022,08.01.2022,09.01.2022,10.01.2022
2,LK Ahrweiler,7131,141,178,250,279,298,367,385
3,LK Aichach-Friedberg,9771,274,279,315,416,428,507,540
4,LK Alb-Donau-Kreis,8425,357,372,427,462,418,539,554
5,LK Altenburger Land,16077,294,329,276,249,270,285,282
6,LK Altenkirchen,7132,240,248,267,296,324,333,304
7,LK Altmarkkreis Salzwedel,15081,217,203,198,247,237,248,252
8,LK Altötting,9171,230,221,226,258,281,318,340
9,LK Alzey-Worms,7331,130,143,184,214,288,293,319
11,LK Amberg-Sulzbach,9371,202,225,224,229,185,216,231
12,LK Ammerland,3451,200,202,168,273,362,405,448
13,LK Anhalt-Bitterfeld,15082,508,477,550,525,533,508,468
15,LK Ansbach,9571,377,407,375,366,377,413,455
17,LK Aschaffenburg,9671,312,343,316,323,377,359,422
19,LK Augsburg,9772,455,497,555,565,592,651,689
20,LK Aurich,3452,179,181,227,252,295,340,366
21,LK Bad Dürkheim,7332,143,198,233,271,271,365,394
22,LK Bad Kissingen,9672,219,214,193,231,227,241,238
23,LK Bad Kreuznach,7133,283,391,456,498,513,598,594
24,LK Bad Tölz-Wolfratshausen,9173,214,222,258,272,275,273,378
27,LK Bamberg,9471,303,321,346,362,360,369,394
28,LK Barnim,12060,754,885,950,888,1004,1054,1087
29,LK Bautzen,14625,785,802,926,844,895,927,933
31,LK Bayreuth,9472,190,185,201,200,200,231,251
32,LK Berchtesgadener Land,9172,149,150,145,155,127,122,119
33,LK Bergstraße,6431,532,628,678,751,860,931,923
46,LK Bernkastel-Wittlich,7231,121,124,235,247,312,316,316
47,LK Biberach,8426,555,592,698,663,692,692,765
49,LK Birkenfeld,7134,149,158,177,191,157,180,183
50,LK Bitburg-Prüm,7232,161,187,185,147,221,233,264
51,LK Böblingen,8115,757,891,1002,951,960,1243,1243
53,LK Bodenseekreis,8435,581,632,655,571,560,728,851
55,LK Börde,15083,715,545,497,420,420,420,420
56,LK Borken,5554,1214,1283,1280,1314,1347,1347,1347
60,LK Breisgau-Hochschwarzwald,8315,546,642,726,699,734,811,902
63,LK Burgenlandkreis,15084,493,409,464,467,416,442,468
64,LK Calw,8235,454,441,459,373,396,394,470
65,LK Celle,3351,250,249,230,283,289,384,401
66,LK Cham,9372,190,201,214,234,250,282,277
68,LK Cloppenburg,3453,221,223,279,320,358,357,357
70,LK Coburg,9473,182,194,178,169,167,162,160
71,LK Cochem-Zell,7135,71,120,179,203,235,261,266
72,LK Coesfeld,5558,296,406,470,493,610,717,685
74,LK Cuxhaven,3352,309,368,464,530,602,710,710
75,LK Dachau,9174,301,360,364,340,437,395,496
76,LK Dahme-Spreewald,12061,706,840,979,921,961,915,1052
78,LK Darmstadt-Dieburg,6432,648,756,837,878,973,1057,1142
79,LK Deggendorf,9271,193,205,236,252,246,263,298
82,LK Diepholz,3251,682,674,715,732,807,807,807
83,LK Dillingen a.d.Donau,9773,243,254,254,260,226,269,285
84,LK Dingolfing-Landau,9279,128,188,208,229,205,246,276
85,LK Dithmarschen,1051,847,875,895,1074,1057,963,1052
86,LK Donau-Ries,9779,222,211,248,285,279,311,348
87,LK Donnersbergkreis,7333,103,109,134,149,174,194,199
91,LK Düren,5358,500,531,602,667,746,878,878
93,LK Ebersberg,9175,452,443,538,576,618,754,690
94,LK Eichsfeld,16061,171,182,183,194,215,215,215
95,LK Eichstätt,9176,319,350,397,374,403,429,442
97,LK Elbe-Elster,12062,471,521,490,452,445,468,471
99,LK Emmendingen,8316,304,341,378,375,392,421,469
100,LK Emsland,3454,557,542,605,766,845,825,818
101,LK Ennepe-Ruhr-Kreis,5954,588,634,727,835,959,1141,1128
102,LK Enzkreis,8236,577,517,483,435,455,416,395
103,LK Erding,9177,346,418,452,411,582,774,663
106,LK Erlangen-Höchstadt,9572,190,189,218,264,269,307,351
107,LK Erzgebirgskreis,14521,978,851,946,912,789,883,894
109,LK Esslingen,8116,1108,1083,1065,1068,1397,1379,1487
110,LK Euskirchen,5366,359,370,340,406,457,553,566
112,LK Forchheim,9474,210,239,184,253,267,230,260
117,LK Freising,9178,396,418,467,534,534,567,663
118,LK Freudenstadt,8237,343,353,351,365,322,375,405
119,LK Freyung-Grafenau,9272,122,115,131,122,106,107,127
120,LK Friesland,3455,88,87,95,109,149,179,152
121,LK Fulda,6631,938,988,1055,1000,984,926,850
122,LK Fürstenfeldbruck,9179,390,434,484,458,491,645,706
124,LK Fürth,9573,213,212,205,201,245,255,302
125,LK Garmisch-Partenkirchen,9180,229,225,173,210,206,231,288
128,LK Germersheim,7334,298,316,341,297,439,439,439
129,LK Gießen,6531,395,428,463,466,538,594,595
130,LK Gifhorn,3151,320,343,356,367,413,468,501
131,LK Göppingen,8117,457,435,492,507,463,546,600
132,LK Görlitz,14626,528,558,619,614,634,696,681
133,LK Goslar,3153,122,150,160,182,225,253,242
134,LK Gotha,16067,569,563,484,430,426,423,427
135,LK Göttingen,3159,507,538,554,637,607,751,809
136,LK Grafschaft Bentheim,3456,230,271,306,346,401,495,515
137,LK Greiz,16076,335,394,435,440,445,405,632
138,LK Groß-Gerau,6433,568,657,763,815,924,931,925
139,LK Günzburg,9774,239,245,247,290,299,329,380
140,LK Gütersloh,5754,827,902,985,1075,1206,1458,1523
144,LK Hameln-Pyrmont,3252,167,182,194,196,213,259,283
147,LK Harburg,3353,845,998,1213,1273,1349,1410,1553
148,LK Harz,15085,434,399,426,299,430,448,504
149,LK Haßberge,9674,204,188,195,172,174,209,213
150,LK Havelland,12063,427,457,562,540,593,711,704
151,LK Heidekreis,3358,256,256,294,298,319,315,312
153,LK Heidenheim,8135,312,303,346,365,325,306,299
155,LK Heilbronn,8125,822,824,817,764,1009,1050,1092
156,LK Heinsberg,5370,537,551,673,723,769,770,770
157,LK Helmstedt,3154,160,163,202,205,216,234,227
158,LK Herford,5758,629,659,634,778,779,884,826
160,LK Hersfeld-Rotenburg,6632,211,224,307,339,331,349,349
161,LK Herzogtum Lauenburg,1053,664,777,884,947,1030,1004,945
162,LK Hildburghausen,16069,345,364,318,302,337,337,337
163,LK Hildesheim,3254,333,373,430,441,477,547,581
164,LK Hochsauerlandkreis,5958,370,417,478,493,551,591,586
165,LK Hochtaunuskreis,6434,510,593,716,810,1021,1021,1021
167,LK Hof,9475,163,151,159,137,173,157,185
168,LK Hohenlohekreis,8126,272,281,294,246,246,319,317
169,LK Holzminden,3255,121,156,176,186,177,170,167
170,LK Höxter,5762,209,217,198,214,244,252,252
